time,actual time,voltage,current,chargeq,dischargeq,CE
1840,11593,4.25678,3.38044,,,
1850,11603,4.25844,3.37278,,,
1860,11613,4.25356,3.35638,,,
1870,11623,4.25612,3.33447,,,
1880,11633,4.25783,3.31664,,,
1890,11643,4.25593,3.31664,,,
1900,11653,4.25724,3.29365,,,
1910,11663,4.25665,3.26524,,,
1920,11673,4.25793,3.24724,,,
1930,11683,4.25753,3.21592,,,
1940,11693,4.2568,3.18827,,,
1950,11703,4.25763,3.17871,,,
1960,11713,4.25687,3.1639,,,
1970,11723,4.2576,3.14436,,,
1980,11733,4.25268,3.12638,,,
1990,11743,4.25429,3.09915,,,
2000,11753,4.25624,3.08172,,,
2010,11763,4.25797,3.07829,,,
2020,11773,4.25967,3.07173,,,
2030,11783,4.25684,3.04683,,,
2040,11793,4.25756,3.037,,,
2050,11803,4.25838,3.01871,,,
2060,11813,4.25822,3.01871,,,
2070,11823,4.25763,3.01021,,,
2080,11833,4.2568,2.98765,,,
2090,11843,4.25496,2.97491,,,
2100,11853,4.25317,2.96452,,,
2110,11863,4.25466,2.9377,,,
2120,11873,4.25646,2.91235,,,
2130,11883,4.2582,2.90191,,,
2140,11893,4.25835,2.88847,,,
2150,11903,4.25797,2.8702,,,
2160,11913,4.2591,2.87021,,,
2170,11923,4.25629,2.85144,,,
2180,11933,4.25739,2.83147,,,
2190,11943,4.25944,2.83147,,,
2200,11953,4.25632,2.81064,,,
2210,11963,4.25761,2.79363,,,
2220,11973,4.26043,2.78721,,,
2230,11983,4.25581,2.76989,,,
2240,11993,4.25751,2.75959,,,
2250,12003,4.25919,2.75142,,,
2260,12013,4.2594,2.74061,,,
2270,12023,4.25692,2.72218,,,
2280,12033,4.25811,2.7134,,,
2290,12043,4.25807,2.71015,,,
2300,12053,4.25846,2.69215,,,
2310,12063,4.25608,2.68079,,,
2320,12073,4.25764,2.65377,,,
2330,12083,4.25956,2.64214,,,
2340,12093,4.25713,2.63306,,,
2350,12103,4.25881,2.61631,,,
2360,12113,4.25968,2.61631,,,
2370,12123,4.25834,2.59966,,,
2380,12133,4.25892,2.58331,,,
2390,12143,4.25801,2.56591,,,
2400,12153,4.25898,2.56591,,,
2410,12163,4.2577,2.53589,,,
2420,12173,4.25996,2.52831,,,
2430,12183,4.25776,2.52157,,,
2440,12193,4.25736,2.5091,,,
2450,12203,4.25733,2.48914,,,
2460,12213,4.2584,2.47629,,,
2470,12223,4.25933,2.47301,,,
2480,12233,4.25857,2.44858,,,
2490,12243,4.25707,2.42092,,,
2500,12253,4.25781,2.40189,,,
2510,12263,4.25975,2.40189,,,
2520,12273,4.25822,2.38478,,,
2530,12283,4.25939,2.36015,,,
2540,12293,4.25816,2.3447,,,
2550,12303,4.25787,2.33692,,,
2560,12313,4.25786,2.31741,,,
2570,12323,4.25915,2.30896,,,
2580,12333,4.25937,2.30896,,,
2590,12343,4.25612,2.29093,,,
2600,12353,4.25749,2.26874,,,
2610,12363,4.25947,2.26672,,,
2620,12373,4.25991,2.26672,,,
2630,12383,4.25599,2.24043,,,
2640,12393,4.25738,2.23087,,,
2650,12403,4.259,2.21302,,,
2660,12413,4.25865,2.19872,,,
2670,12423,4.25939,2.18959,,,
2680,12433,4.25761,2.16954,,,
2690,12443,4.2592,2.15032,,,
2700,12453,4.26,2.14312,,,
2710,12463,4.25802,2.11965,,,
2720,12473,4.25727,2.08938,,,
2730,12483,4.25901,2.07942,,,
2740,12493,4.2593,2.06755,,,
2750,12503,4.25915,2.0588,,,
2760,12513,4.25962,2.0588,,,
2770,12523,4.25814,2.05148,,,
2780,12533,4.2572,2.02544,,,
2790,12543,4.25852,2.01291,,,
2800,12553,4.26015,2.0023,,,
2810,12563,4.25856,1.98004,,,
2820,12573,4.25911,1.98004,,,
2830,12583,4.25853,1.95191,,,
2840,12593,4.25874,1.94374,,,
2850,12603,4.25806,1.93182,,,
2860,12613,4.25955,1.92249,,,
2870,12623,4.2591,1.90982,,,
2880,12633,4.25965,1.90257,,,
2890,12643,4.25697,1.87574,,,
2900,12653,4.2576,1.86264,,,
2910,12663,4.25692,1.85209,,,
2920,12673,4.25834,1.83463,,,
2930,12683,4.25833,1.82071,,,
2940,12693,4.25837,1.80988,,,
2950,12703,4.25933,1.798,,,
2960,12713,4.25764,1.76575,,,
2970,12723,4.2593,1.76185,,,
2980,12733,4.25799,1.74794,,,
2990,12743,4.25837,1.72761,,,
3000,12753,4.25938,1.72761,,,
3010,12763,4.25787,1.71163,,,
3020,12773,4.25913,1.69273,,,
3030,12783,4.25855,1.68484,,,
3040,12793,4.25866,1.67263,,,
3050,12803,4.25904,1.67263,,,
3060,12814,4.25906,1.66326,,,
3070,12823,4.25904,1.6496,,,
3080,12833,4.25872,1.64056,,,
3090,12843,4.25843,1.62863,,,
3100,12853,4.25808,1.60449,,,
3110,12863,4.25916,1.5863,,,
3120,12873,4.2598,1.57695,,,
3130,12883,4.25851,1.56914,,,
3140,12893,4.25755,1.54939,,,
3150,12903,4.25773,1.54187,,,
3160,12913,4.25857,1.52502,,,
3170,12923,4.25921,1.51387,,,
3180,12933,4.25947,1.50424,,,
3190,12943,4.25778,1.49463,,,
3200,12953,4.25995,1.48765,,,
3210,12964,4.25863,1.48122,,,
3220,12974,4.25949,1.48122,,,
3230,12984,4.25842,1.4704,,,
3240,12994,4.25977,1.46349,,,
3250,13004,4.25881,1.45428,,,
3260,13014,4.25958,1.44814,,,
3270,13024,4.25754,1.44154,,,
3280,13034,4.25917,1.42416,,,
3290,13044,4.25734,1.40682,,,
3300,13054,4.25817,1.39647,,,
3310,13064,4.25966,1.3832,,,
3320,13074,4.25797,1.37287,,,
3330,13084,4.25854,1.36587,,,
3340,13094,4.25954,1.36492,,,
3350,13104,4.25974,1.35997,,,
3360,13114,4.25872,1.35482,,,
3370,13124,4.25844,1.34651,,,
3380,13134,4.25587,1.33968,,,
3390,13144,4.25648,1.33712,,,
3400,13154,4.25792,1.32692,,,
3410,13164,4.25872,1.32177,,,
3420,13174,4.2601,1.31745,,,
3430,13184,4.25944,1.31184,,,
3440,13194,4.25673,1.30223,,,
3450,13204,4.258,1.29826,,,
3460,13214,4.25875,1.28587,,,
3470,13224,4.25965,1.27915,,,
3480,13234,4.25821,1.27474,,,
3490,13244,4.25765,1.26829,,,
3500,13254,4.25864,1.26033,,,
3510,13264,4.25959,1.25595,,,
3520,13274,4.25835,1.2502,,,
3530,13284,4.25762,1.24566,,,
3540,13294,4.25853,1.24433,,,
3550,13304,4.25909,1.23814,,,
3560,13314,4.25818,1.23475,,,
3570,13324,4.2571,1.23215,,,
3580,13334,4.25805,1.22437,,,
3590,13344,4.25852,1.21543,,,
3600,13354,4.2593,1.21433,,,
3610,13364,4.25879,1.21293,,,
3620,13374,4.2569,1.20285,,,
3630,13384,4.25792,1.19955,,,
3640,13394,4.2585,1.1942,,,
3650,13404,4.2592,1.19305,,,
3660,13414,4.25971,1.19305,,,
3670,13424,4.25468,1.18714,,,
3680,13434,4.2539,1.16244,,,
3690,13444,4.25459,1.15624,,,
3700,13454,4.25501,1.14538,,,
3710,13464,4.25549,1.13912,,,
3720,13474,4.25624,1.1285,,,
3730,13484,4.25706,1.12544,,,
3740,13494,4.25401,1.12092,,,
3750,13504,4.25423,1.12034,,,
3760,13514,4.25488,1.11196,,,
3770,13524,4.2553,1.10447,,,
3780,13534,4.25601,1.10166,,,
3790,13544,4.25679,1.1035,,,
3800,13554,4.25403,1.10028,,,
3810,13564,4.25411,1.09996,,,
3820,13574,4.25453,1.09841,,,
3830,13584,4.25514,1.09511,,,
3840,13594,4.25564,1.09286,,,
3850,13604,4.25585,1.09079,,,
3860,13614,4.25664,1.09028,,,
3870,13624,4.25546,1.0902,,,
3880,13634,4.25599,1.08338,,,
3890,13644,4.25665,1.07989,,,
3900,13654,4.25548,1.07621,,,
3910,13664,4.25593,1.06983,,,
3920,13674,4.25627,1.06705,,,
3930,13684,4.25535,1.06471,,,
3940,13694,4.25381,1.05842,,,
3950,13704,4.25425,1.05163,,,
3960,13714,4.25463,1.04635,,,
3970,13724,4.25523,1.04018,,,
3980,13734,4.25589,1.03834,,,
3990,13744,4.25644,1.03601,,,
4000,13754,4.25674,1.03464,,,
4010,13764,4.25374,1.02879,,,
4020,13774,4.25426,1.02495,,,
4030,13784,4.25455,1.02159,,,
4040,13794,4.25505,1.01677,,,
4050,13804,4.25556,1.01485,,,
4060,13814,4.25611,1.01071,,,
4070,13824,4.25487,1.01006,,,
4080,13834,4.2537,1.00391,,,
4090,13844,4.25406,0.997301,,,
4100,13854,4.2546,0.99681,,,
4110,13864,4.25482,0.996167,,,
4120,13874,4.2553,0.991411,,,
4130,13884,4.256,0.991338,,,
4140,13894,4.25641,0.990357,,,
4150,13904,4.25511,0.988037,,,
4160,13914,4.25395,0.982715,,,
4170,13924,4.25437,0.979739,,,
4180,13934,4.255,0.972986,,,
4190,13944,4.25546,0.968272,,,
4200,13954,4.25585,0.967945,,,
4210,13964,4.25605,0.96775,,,
4220,13974,4.25526,0.962137,,,
4230,13984,4.25561,0.960223,,,
4240,13994,4.25641,0.955025,,,
4250,14004,4.2548,0.94802,,,
4260,14014,4.25539,0.945189,,,
4270,14024,4.25572,0.935423,,,
4280,14034,4.25648,0.933002,,,
4290,14044,4.25343,0.930862,,,
4300,14055,4.25359,0.925035,,,
4310,14064,4.25397,0.919234,,,
4320,14075,4.25459,0.915718,,,
4330,14084,4.25514,0.912271,,,
4340,14095,4.25572,0.908985,,,
4350,14105,4.25637,0.906536,,,
4360,14115,4.25721,0.906536,,,
4370,14125,4.25357,0.903173,,,
4380,14135,4.25431,0.900025,,,
4390,14145,4.25456,0.893252,,,
4400,14155,4.25518,0.886227,,,
4410,14165,4.25548,0.883551,,,
4420,14175,4.25642,0.877204,,,
4430,14185,4.25487,0.874714,,,
4440,14195,4.25383,0.869471,,,
4450,14205,4.25423,0.86365,,,
4460,14215,4.25459,0.856964,,,
4470,14225,4.25537,0.852782,,,
4480,14235,4.25583,0.853596,,,
4490,14245,4.25631,0.850237,,,
4500,14255,4.25642,0.850238,,,
4510,14265,4.2541,0.844508,,,
4520,14275,4.25441,0.837759,,,
4530,14285,4.25485,0.837967,,,
4540,14295,4.25532,0.831079,,,
4550,14305,4.25608,0.827394,,,
4560,14315,4.25501,0.827395,,,
4570,14325,4.25343,0.818104,,,
4580,14335,4.25399,0.813121,,,
4590,14345,4.25443,0.810259,,,
4600,14355,4.254,0.802327,,,
4610,14365,4.25191,0.792811,,,
4620,14375,4.25241,0.788431,,,
4630,14385,4.2527,0.78217,,,
4640,14395,4.25338,0.775566,,,
4650,14405,4.25408,0.772658,,,
4660,14415,4.25442,0.768786,,,
4670,14425,4.2533,0.768787,,,
4680,14435,4.25192,0.756716,,,
4690,14445,4.2524,0.748518,,,
4700,14455,4.25264,0.741066,,,
4710,14465,4.25349,0.738598,,,
4720,14475,4.25412,0.741574,,,
4730,14485,4.25192,0.737354,,,
4740,14495,4.25156,0.728363,,,
4750,14505,4.25196,0.71983,,,
4760,14515,4.25266,0.709409,,,
4770,14525,4.25296,0.707687,,,
4780,14535,4.25373,0.701656,,,
4790,14545,4.2542,0.699715,,,
4800,14555,4.25377,0.697156,,,
4810,14565,4.25375,0.695041,,,
4820,14575,4.25448,0.693626,,,
4830,14585,4.25244,0.693619,,,
