temperature,actuall time,Va,Vdc,Ia,Idc,IR,Pr,Drop,Drop100,ED,CE,AVG_D
25,31556,4.169,3.85675,-0.00109,-4.2034,0.074304371,98.5,0,1.5,14.0115,1.00609,43.3
-10,11686,4.08104,3.50771,-0.00106,-4.2032,0.136437625,67,31.5,33,9.10292,1,
-15,4124,4.03133,3.35496,-0.00105,-4.20328,0.160955017,58.5,40,41.5,7.52318,0.99656,
-20,12982,3.94316,3.13738,-0.00103,-4.20324,0.191751483,42,56.5,58,5.40652,0.98485,
-25,5128,3.91426,2.97077,-0.00102,-4.20319,0.224524472,36.3,62.2,63.7,3.49925,0.84083,
-30,211,3.87724,2.8123,-0.00101,-4.20318,0.253426206,28.9,69.6,71.1,0,0.61654,
