temperature,actuall time,Va,Vdc,Ia,Idc,IR,Pr,Drop,Drop100,ED,CE,AVG_D
25,47940,4.18449,3.92305,-0.00109,-3.00277,0.087097892,95.33,0,4.67,9.57268,1.0063,26.405
-10,34090,4.12054,3.75988,-0.00107,-3.003,0.120142708,78.87,16.46,21.13,7.61021,1.0051,
-15,11562,4.11957,3.75642,-0.00108,-3.00274,0.120983056,72.37,22.96,27.63,6.78551,0.9972,
-20,17739,4.11711,3.69084,-0.00107,-3.00255,0.142019937,64.96,30.37,35.04,5.84246,0.9846,
-25,6875,4.07975,3.55454,-0.00106,-3.00284,0.174966187,54.56,40.77,45.44,5.1977,0.9707,
-30,8098,4.05629,3.45375,-0.00106,-3.00249,0.200750975,47.46,47.87,52.54,4.32073,0.9937,
