temperature,actuall time,Va,Vdc,Ia,Idc,IR,Pr,Drop,Drop100
25,17317,4.24011,3.79309,-0.00111,-3.39482,0.131720153,95.23,0,4.77
-10,12335,4.12855,3.50003,-0.00108,-3.39496,0.185192169,81.14,14.09,18.86
-15,7721,4.14196,3.49987,-0.00108,-3.3951,0.189182739,78.94,16.29,21.06
-20,13081,4.12917,3.44334,-0.00108,-3.39481,0.202087379,72.11,23.12,27.89
-25,4413,4.09736,3.29837,-0.00107,-3.39485,0.235427753,64.47,30.76,35.53
-30,27679,4.06346,3.12108,-0.00106,-3.39509,0.277658123,57.29,37.94,42.71
