0,,,Version=1.30
1,,,ActionStart=20403
11,3.50702,0.793994,
21,3.58759,1.5944,
31,3.65637,2.19607,
41,3.71594,2.79392,
51,3.78476,3.59355,
61,3.85996,,
71,3.88202,,
81,3.88997,4.15671,
91,3.89647,4.15399,
101,3.90137,4.14226,
111,3.90679,4.16589,
121,3.91128,4.16555,
131,3.91592,4.17791,
141,3.91952,4.17752,
151,3.92332,4.16887,
161,3.92753,4.1867,
171,3.9312,4.19412,
181,3.93429,4.19731,
191,3.9373,4.20961,
201,3.94152,4.22384,
211,3.94467,4.22966,
221,3.94777,4.23972,
231,3.95095,4.24517,
241,3.95422,4.23744,
251,3.95699,4.24874,
261,3.95998,4.25683,
271,3.96313,4.27049,
281,3.96528,4.27647,
291,3.96851,4.28732,
301,3.97126,4.28599,
311,3.97365,4.28655,
321,3.97642,4.28996,
331,3.97904,4.28994,
341,3.98197,4.29717,
351,3.98438,4.29625,
361,3.98673,4.29958,
371,3.98952,4.29945,
381,3.99126,4.2943,
391,3.99427,4.29618,
401,3.996,4.29491,
411,3.99923,4.29299,
421,4.00048,4.29425,
431,4.00235,4.29146,
441,4.00468,4.29206,
451,4.00595,4.29118,
461,4.00873,4.30058,
471,4.01032,4.29269,
481,4.01192,4.29206,
491,4.0134,4.29167,
501,4.01523,4.2933,
511,4.01683,4.29178,
521,4.01892,4.27887,
531,4.0199,4.29023,
541,4.02159,4.29095,
551,4.02391,4.28309,
561,4.02488,4.27555,
571,4.02592,4.27522,
581,4.02813,4.2728,
591,4.02938,4.26915,
601,4.03078,4.26997,
611,4.03238,4.26963,
621,4.03336,4.2701,
631,4.03535,4.27412,
641,4.03693,4.27492,
651,4.03827,4.27276,
661,4.03929,4.27028,
671,4.04071,4.272,
681,4.04223,4.27164,
691,4.04421,4.2702,
701,4.0455,4.26976,
711,4.04675,4.28344,
721,4.04852,4.28731,
731,4.0501,4.2898,
741,4.05158,4.29149,
751,4.05303,4.29402,
761,4.05499,4.29266,
771,4.05692,4.29391,
781,4.05808,4.29272,
791,4.05896,4.29433,
801,4.06104,4.30288,
811,4.06286,4.29136,
821,4.06387,4.28512,
831,4.06535,4.28038,
841,4.06645,4.28087,
851,4.06782,4.28107,
861,4.06943,4.29373,
871,4.07053,4.2949,
881,4.07181,4.3046,
891,4.07271,4.30928,
901,4.07453,4.31305,
911,4.0758,4.30663,
921,4.07769,4.30544,
931,4.07823,4.30391,
941,4.07958,4.31519,
951,4.08084,4.30998,
961,4.08171,4.30882,
971,4.08312,4.30302,
981,4.08431,4.29981,
991,4.08489,4.29858,
1001,4.08624,4.28616,
1011,4.0877,4.28286,
1021,4.08881,4.28386,
1031,4.08965,4.28078,
1041,4.09072,4.28088,
1051,4.09253,4.28384,
1061,4.09318,4.27835,
1071,4.09404,4.28026,
1081,4.09491,4.28196,
1091,4.09704,4.28005,
1101,4.09704,4.28357,
1111,4.09832,4.28636,
1121,4.09926,4.28885,
1131,4.10025,4.28539,
1141,4.1016,4.28613,
1151,4.10246,4.28051,
1161,4.10391,4.27638,
1171,4.10438,4.27713,
1181,4.10534,4.28222,
1191,4.10669,4.27372,
1201,4.10762,4.27095,
1211,4.10887,4.26898,
1221,4.11011,4.26124,
1231,4.11067,4.25963,
1241,4.11189,4.26047,
1251,4.11319,4.2573,
1261,4.11373,4.25635,
1271,4.11497,4.26649,
1281,4.1164,4.27186,
1291,4.11705,4.27449,
1301,4.11822,4.27808,
1311,4.11915,4.2768,
1321,4.12054,4.28009,
1331,4.12218,4.28552,
1341,4.12323,4.28942,
1351,4.12485,4.28924,
1361,4.1266,4.28994,
1371,4.12715,4.29109,
1381,4.12867,4.28998,
1391,4.12955,4.2829,
1401,4.13187,4.28696,
1411,4.13304,4.28433,
1421,4.13467,4.29171,
1431,4.13554,4.29089,
1441,4.1373,4.2868,
1451,4.13886,4.28501,
1461,4.13943,4.28232,
1471,4.14128,4.28167,
1481,4.14272,4.27797,
1491,4.14408,4.27334,
1501,4.14577,4.26687,
1511,4.14732,4.26211,
1521,4.14852,4.26217,
1531,4.14988,4.26683,
1541,4.15147,4.25952,
1551,4.15314,4.26225,
1561,4.155,4.26128,
1571,4.15606,4.26356,
1581,4.15712,4.27109,
1591,4.15827,4.27606,
